iter	Logloss
0	0.6131044143
1	0.5452894003
2	0.4783199041
3	0.4202961422
4	0.3684612718
5	0.3320552653
6	0.3034731525
7	0.2695092167
8	0.2495326894
9	0.22982784
10	0.2134433646
11	0.2017033579
12	0.190253862
13	0.1807984446
14	0.1733356607
15	0.1678607202
16	0.1611206937
17	0.1561967683
18	0.1504919911
19	0.1472946924
20	0.1435983321
21	0.1395933705
22	0.1358034877
23	0.1331218241
24	0.1303867089
25	0.1285958388
26	0.1262610814
27	0.1262328829
28	0.1250450052
29	0.1235197129
30	0.1234944512
31	0.1226820306
32	0.121646865
33	0.1215245912
34	0.1204716993
35	0.1199828497
36	0.1199694134
37	0.1199572921
38	0.1191901067
39	0.1188893027
40	0.1182540222
41	0.1180172239
42	0.1169205303
43	0.1150147408
44	0.1145700314
45	0.1142153597
46	0.1140129321
47	0.1132045931
48	0.1126272054
49	0.1126194201
50	0.1123787765
51	0.1123720334
52	0.1115195052
53	0.111483047
54	0.1109517601
55	0.110492937
56	0.1104374739
57	0.109347536
58	0.1088177946
59	0.108711161
60	0.1087074152
61	0.1079084745
62	0.1073744486
63	0.1073720976
64	0.1073298858
65	0.1070647038
66	0.1067114889
67	0.105973318
68	0.1053163025
69	0.1047232538
70	0.1046063386
71	0.1042839415
72	0.1040626021
73	0.103931907
74	0.1039171191
75	0.1035870392
76	0.1028518772
77	0.1025036736
78	0.1016906058
79	0.1009658419
80	0.1007079505
81	0.1006783155
82	0.1006666087
83	0.1001234427
84	0.09964737637
85	0.09936889583
86	0.09932706249
87	0.09928482058
88	0.09896214866
89	0.09896214801
90	0.09834050299
91	0.09820608219
92	0.09805122048
93	0.09768582478
94	0.09718267208
95	0.09714798483
96	0.0964860839
97	0.09575245179
98	0.09486746798
99	0.09454815625
100	0.09434557746
101	0.09433222897
102	0.0933081995
103	0.09286348996
104	0.09246109148
105	0.09237952541
106	0.09234924093
107	0.09167483004
108	0.09153162812
109	0.0908532772
110	0.09075810727
111	0.09049164782
112	0.09034359516
113	0.08993620005
114	0.08974000169
115	0.08931046797
116	0.08869758757
117	0.08857776966
118	0.0882676834
119	0.08824390187
120	0.08798126449
121	0.08797353097
122	0.08744148928
123	0.0874338694
124	0.08690447552
125	0.08690407124
126	0.08649087719
127	0.08597209913
128	0.0858167884
129	0.08581667636
130	0.08566515852
131	0.08487310021
132	0.08461197322
133	0.08461175014
134	0.08439271395
135	0.08391106328
136	0.08230328178
137	0.08206585874
138	0.08201187151
139	0.08177902242
140	0.08169249897
141	0.0810422049
142	0.08067834696
143	0.08035008441
144	0.08012725803
145	0.07940936018
146	0.07897808374
147	0.07802963896
148	0.07716197173
149	0.07676320989
150	0.07642791648
151	0.07620674266
152	0.07575075139
153	0.07511433356
154	0.07487075636
155	0.07460233847
156	0.07356699352
157	0.07350536458
158	0.0731721569
159	0.07274477957
160	0.07268133972
161	0.07261006316
162	0.07227402843
163	0.07227325096
164	0.07195618073
165	0.07136615631
166	0.07085997004
167	0.07074220754
168	0.07014946439
169	0.07011341684
170	0.06995808226
171	0.06963316735
172	0.06943447981
173	0.06887601863
174	0.06845163014
175	0.06816866627
176	0.06745985996
177	0.06713680831
178	0.06636250485
179	0.06593262455
180	0.06593208559
181	0.0655996402
182	0.06511169739
183	0.06494956296
184	0.06489702295
185	0.06457089995
186	0.06419763555
187	0.06367009973
188	0.06341354689
189	0.06335515392
190	0.06307964385
191	0.06274994471
192	0.0622328377
193	0.06175878474
194	0.06150903384
195	0.0610950782
196	0.0609284007
197	0.06058468076
198	0.06040223948
199	0.06013387062
200	0.06007089559
201	0.05959963146
202	0.05928290966
203	0.05871580779
204	0.05856574907
205	0.05826345587
206	0.05761370349
207	0.05700217858
208	0.05665887734
209	0.05630838225
210	0.05605401716
211	0.05575540732
212	0.05552703061
213	0.05531515319
214	0.05525286993
215	0.05486804114
216	0.05472954135
217	0.05432132829
218	0.05355942855
219	0.05345611152
220	0.05309636729
221	0.05297338098
222	0.05256882422
223	0.05231418137
224	0.05209457351
225	0.05184267341
226	0.05121115538
227	0.05106423
228	0.05071308827
229	0.05062964585
230	0.05062957593
231	0.05023407019
232	0.05020930996
233	0.04990493857
234	0.04960243139
235	0.04926802092
236	0.04916612339
237	0.04906227533
238	0.04875587697
239	0.0486240729
240	0.0483980894
241	0.04804063084
242	0.04775178577
243	0.04759744729
244	0.04705014261
245	0.04686017245
246	0.04642839423
247	0.0461641528
248	0.04589425132
249	0.04569492371
250	0.04548592129
251	0.04526490777
252	0.04502994041
253	0.04479342931
254	0.04453916753
255	0.04446038292
256	0.04424254257
257	0.04398063165
258	0.04380440493
259	0.04367415313
260	0.04360556641
261	0.04339056571
262	0.04319592736
263	0.04315547555
264	0.04301110564
265	0.04299526654
266	0.04282885327
267	0.04256530957
268	0.04231350385
269	0.04215233626
270	0.04210951905
271	0.04192599206
272	0.04180298149
273	0.04152115227
274	0.04139374947
275	0.04104395459
276	0.0408789115
277	0.04080122763
278	0.04047683819
279	0.04036440159
280	0.04032052043
281	0.03993260779
282	0.03982977056
283	0.03946052953
284	0.0393159836
285	0.03896049077
286	0.0385483373
287	0.03837765462
288	0.03832738296
289	0.03821819518
290	0.03805152735
291	0.03785125431
292	0.03772965127
293	0.03762015093
294	0.0375203661
295	0.03739373134
296	0.03720699468
297	0.0371300773
298	0.03684085897
299	0.03677103056
300	0.03645977304
301	0.03631339814
302	0.0360503858
303	0.03588350892
304	0.03581639202
305	0.03574223416
306	0.0355530252
