iter	Passed	Remaining
465	764	876
466	767	875
467	768	873
468	770	871
469	771	869
470	772	868
471	774	866
472	775	864
473	778	863
474	780	862
475	781	860
476	782	858
477	785	857
478	787	856
479	788	854
480	789	852
481	791	850
482	793	849
483	796	848
484	799	848
485	800	846
486	802	845
487	803	843
488	804	841
489	806	839
490	807	837
491	809	835
492	810	833
493	811	831
494	813	829
495	814	827
496	815	825
497	816	823
498	817	821
499	818	818
500	819	816
501	820	814
502	822	812
503	824	811
504	825	809
505	826	807
506	827	805
507	829	802
508	830	800
509	831	798
510	833	797
511	834	795
512	835	793
513	837	791
514	839	790
515	840	788
516	841	786
517	843	785
518	844	783
519	846	781
520	847	779
521	849	777
522	850	775
523	851	773
524	853	772
525	854	770
526	855	768
527	857	766
528	858	764
529	859	762
530	860	760
531	862	758
532	863	756
533	864	754
534	866	752
535	867	750
536	868	748
537	870	747
538	871	745
539	872	743
540	874	741
541	876	740
542	878	739
543	879	737
544	880	735
545	882	733
546	883	731
547	884	729
548	886	728
549	888	726
550	890	725
551	891	723
552	893	722
553	899	724
554	901	722
555	909	726
556	911	725
557	925	732
558	926	730
559	928	729
560	932	729
561	939	732
562	943	732
563	947	732
564	949	731
565	951	729
566	952	727
567	954	726
568	956	724
569	957	722
570	959	720
571	961	719
572	962	717
573	963	715
574	965	713
575	966	711
576	967	709
577	968	707
578	969	705
579	971	703
580	973	701
581	974	699
582	976	698
583	977	696
584	978	694
585	979	692
586	981	690
587	982	688
588	984	686
589	986	685
590	988	683
591	989	681
592	990	680
593	992	678
594	993	676
595	994	674
596	996	672
597	997	670
598	999	669
599	1000	667
600	1003	665
601	1005	664
602	1006	662
603	1007	660
604	1009	658
605	1010	657
606	1011	655
607	1013	653
608	1015	651
609	1016	649
610	1017	647
611	1019	646
612	1020	644
613	1022	642
614	1024	641
615	1026	639
616	1027	637
617	1029	636
618	1031	634
619	1032	632
620	1034	631
621	1035	629
622	1037	627
623	1038	625
624	1040	624
625	1042	622
626	1043	621
627	1045	619
628	1046	617
629	1048	615
630	1050	614
631	1052	612
632	1055	611
633	1057	610
634	1058	608
635	1060	607
636	1062	605
637	1064	604
638	1066	602
639	1069	601
640	1071	600
641	1073	598
642	1074	596
643	1075	594
644	1077	592
645	1079	591
646	1082	590
647	1083	588
648	1087	588
649	1088	586
650	1090	584
651	1092	583
652	1094	581
653	1096	579
654	1098	578
655	1099	576
656	1100	574
657	1102	572
658	1103	571
659	1105	569
660	1107	567
661	1109	566
662	1110	564
663	1112	563
664	1114	561
665	1115	559
666	1117	557
667	1118	555
668	1120	554
669	1121	552
670	1122	550
671	1124	548
672	1125	546
673	1126	544
674	1127	543
675	1129	541
676	1130	539
677	1131	537
678	1133	535
679	1134	533
680	1135	531
681	1136	530
682	1138	528
683	1139	526
684	1141	524
685	1142	522
686	1144	521
687	1146	519
688	1147	517
689	1148	516
690	1150	514
691	1151	512
692	1153	510
693	1154	509
694	1156	507
695	1157	505
696	1158	503
697	1160	502
698	1162	500
699	1163	498
700	1165	496
701	1166	495
702	1168	493
703	1169	491
704	1170	489
705	1172	488
706	1173	486
707	1175	484
708	1176	482
709	1177	481
710	1179	479
711	1180	477
712	1181	475
713	1183	473
714	1184	472
715	1186	470
716	1188	469
717	1189	467
718	1190	465
719	1192	463
720	1193	461
721	1194	460
722	1196	458
723	1197	456
724	1198	454
725	1199	452
726	1201	451
727	1203	449
728	1204	447
729	1206	446
730	1207	444
731	1208	442
732	1210	440
733	1211	439
734	1214	437
735	1215	436
736	1217	434
737	1219	432
738	1220	431
739	1221	429
740	1223	427
741	1224	425
742	1225	423
743	1227	422
744	1229	420
745	1230	419
746	1231	417
747	1233	415
748	1234	413
749	1235	411
750	1236	410
751	1238	408
752	1239	406
753	1241	404
754	1242	403
755	1243	401
756	1245	399
757	1246	397
758	1247	396
759	1248	394
760	1250	392
761	1251	390
762	1253	389
763	1255	387
764	1256	386
765	1258	384
766	1259	382
767	1261	381
768	1262	379
769	1263	377
770	1265	375
771	1266	374
772	1267	372
773	1269	370
774	1271	369
775	1272	367
776	1274	365
777	1275	364
778	1277	362
779	1279	360
780	1281	359
781	1283	357
782	1284	355
783	1285	354
784	1287	352
785	1288	350
786	1289	349
787	1291	347
788	1292	345
789	1293	343
790	1294	342
791	1296	340
792	1297	338
793	1298	336
794	1299	335
795	1301	333
796	1302	331
797	1303	330
798	1305	328
799	1307	326
800	1308	325
801	1309	323
802	1311	321
803	1312	319
804	1313	318
805	1314	316
806	1316	314
807	1318	313
808	1320	311
809	1321	309
810	1324	308
811	1325	306
812	1326	305
813	1328	303
814	1330	302
815	1331	300
816	1332	298
817	1334	296
818	1336	295
819	1340	294
820	1341	292
821	1343	290
822	1345	289
823	1346	287
824	1347	285
825	1350	284
826	1351	282
827	1353	281
828	1354	279
829	1356	277
830	1357	276
831	1359	274
832	1364	273
833	1366	272
834	1367	270
835	1369	268
836	1371	267
837	1373	265
838	1374	263
839	1376	262
840	1378	260
841	1380	258
842	1382	257
843	1384	255
844	1386	254
845	1388	252
846	1389	250
847	1390	249
848	1392	247
849	1393	245
850	1395	244
851	1396	242
852	1398	240
853	1399	239
854	1400	237
855	1402	235
856	1403	234
857	1405	232
858	1406	230
859	1407	229
860	1408	227
861	1410	225
862	1411	224
863	1413	222
864	1414	220
865	1415	219
866	1416	217
867	1419	215
868	1420	214
869	1421	212
870	1423	210
871	1424	209
872	1426	207
873	1427	205
874	1428	204
875	1429	202
876	1430	200
877	1432	199
878	1433	197
879	1435	195
880	1436	194
881	1437	192
882	1438	190
883	1440	189
884	1441	187
885	1442	185
886	1444	184
887	1445	182
888	1446	180
889	1448	179
890	1451	177
891	1453	175
892	1454	174
893	1456	172
894	1457	170
895	1458	169
896	1460	167
897	1461	166
898	1463	164
899	1464	162
900	1466	161
901	1468	159
902	1470	157
903	1473	156
904	1474	154
905	1475	153
906	1477	151
907	1478	149
908	1479	148
909	1481	146
910	1482	144
911	1484	143
912	1486	141
913	1487	139
914	1489	138
915	1490	136
916	1491	134
917	1493	133
918	1495	131
919	1496	130
920	1499	128
921	1501	127
922	1504	125
923	1505	123
924	1506	122
925	1508	120
926	1511	118
927	1513	117
928	1515	115
929	1516	114
930	1519	112
931	1520	110
932	1522	109
933	1523	107
934	1525	106
935	1527	104
936	1528	102
937	1530	101
938	1531	99
939	1532	97
940	1535	96
941	1536	94
942	1538	92
943	1540	91
944	1541	89
945	1543	88
946	1545	86
947	1547	84
948	1548	83
949	1550	81
950	1552	79
951	1553	78
952	1555	76
953	1557	75
954	1559	73
955	1561	71
956	1563	70
957	1564	68
958	1567	66
959	1569	65
960	1571	63
961	1573	62
962	1575	60
963	1577	58
964	1578	57
965	1580	55
966	1581	53
967	1584	52
968	1585	50
969	1587	49
970	1588	47
971	1590	45
972	1592	44
973	1594	42
974	1595	40
975	1598	39
976	1600	37
977	1601	36
978	1604	34
979	1605	32
980	1607	31
981	1609	29
982	1610	27
983	1612	26
984	1614	24
985	1616	22
986	1618	21
987	1620	19
988	1621	18
989	1622	16
990	1624	14
991	1626	13
992	1628	11
993	1630	9
994	1632	8
995	1634	6
996	1636	4
997	1638	3
998	1641	1
999	1642	0
