iter	MultiClass
358	0.09094317108
359	0.09061248895
360	0.09029603355
361	0.08989276959
362	0.08957303402
363	0.08923994148
364	0.08891976316
365	0.08861135488
366	0.08829668477
367	0.0879477786
368	0.08759927635
369	0.08728385371
370	0.08693669086
371	0.08660841575
372	0.08630533608
373	0.08599246886
374	0.0856879177
375	0.08535332361
376	0.08504625453
377	0.08470906504
378	0.08438755778
379	0.08408103904
380	0.08378265425
381	0.08349228965
382	0.08321631858
383	0.08289980208
384	0.08261308356
385	0.08231384728
386	0.0820357947
387	0.08173272835
388	0.08146777256
389	0.08118388389
390	0.0809112802
391	0.08062705622
392	0.08035632023
393	0.08007453332
394	0.07980743947
395	0.0793199091
396	0.07907366127
397	0.07883594785
398	0.0785615322
399	0.0782928297
400	0.07803917181
401	0.07780587479
402	0.07756676274
403	0.07732788147
404	0.07709122321
405	0.07683749757
406	0.07656034245
407	0.07628185839
408	0.07603854856
409	0.07581472708
410	0.07556893573
411	0.07536996616
412	0.07513589381
413	0.07488419855
414	0.07463813267
415	0.07440805139
416	0.07415530653
417	0.073910504
418	0.07369310879
419	0.0734866311
420	0.07324567594
421	0.0730400945
422	0.07280940487
423	0.07259004758
424	0.07237977199
425	0.07213851451
426	0.0719295196
427	0.07168003596
428	0.0714265329
429	0.07122982086
430	0.07101314228
431	0.07080435345
432	0.0705975693
433	0.07039360916
434	0.07019437766
435	0.06996747533
436	0.0697605662
437	0.06955399707
438	0.06931611439
439	0.06911619257
440	0.06892969418
441	0.06874084765
442	0.06855906852
443	0.06835265149
444	0.06817377004
445	0.06798986065
446	0.06780868407
447	0.0676046073
448	0.06742022491
449	0.0672065913
450	0.06701846953
451	0.06681388187
452	0.0666236245
453	0.06642084197
454	0.06621589432
455	0.06604873623
456	0.06586833285
457	0.06567334606
458	0.06548909866
459	0.0653075495
460	0.06513006231
461	0.06495995206
462	0.06477906904
463	0.06459528937
464	0.06442882315
465	0.06424360065
466	0.06405135161
467	0.06387344384
468	0.06367984112
469	0.06349617708
470	0.06332931888
471	0.06315362959
472	0.06297449386
473	0.06278869658
474	0.06260986699
475	0.06241726778
476	0.06225151017
477	0.0620947404
478	0.06188362606
479	0.06172289262
480	0.06155491539
481	0.06137687466
482	0.06121121182
483	0.06103875211
484	0.06087772892
485	0.06070772275
486	0.06055416054
487	0.06041193318
488	0.06024494905
489	0.06009515913
490	0.05994249053
491	0.0598012954
492	0.05964701802
493	0.0595201423
494	0.05935707274
495	0.0592099826
496	0.05905831385
497	0.05890879667
498	0.05875866893
499	0.05861812025
500	0.05847417097
501	0.05830716859
502	0.05816736415
503	0.05800133819
504	0.05784970105
505	0.05769859627
506	0.0575480215
507	0.05740845136
508	0.05727439649
509	0.05713674279
510	0.05699883996
511	0.05685889106
512	0.05671442852
513	0.05657936952
514	0.05645913637
515	0.05632573832
516	0.05619183783
517	0.05604045135
518	0.05591292177
519	0.05578156696
520	0.05564871823
521	0.05550792716
522	0.0553623662
523	0.05521986989
524	0.0550871599
525	0.05496013563
526	0.05482873875
527	0.05468950183
528	0.05457350101
529	0.05444697747
530	0.05431609802
531	0.05418323457
532	0.05406308632
533	0.05393493151
534	0.05381360962
535	0.05369915101
536	0.05356202232
537	0.05345014756
538	0.05332545093
539	0.05319866051
540	0.05305031067
541	0.05292924188
542	0.05281747513
543	0.05269818071
544	0.05251367147
545	0.05239370824
546	0.05228026262
547	0.05216299496
548	0.05204995458
549	0.05193162049
550	0.05180803289
551	0.05168207668
552	0.05155669982
553	0.05144301845
554	0.05132920105
555	0.05120850512
556	0.05109656562
557	0.05098921585
558	0.05087305431
559	0.05073955049
560	0.05061630493
561	0.05050303551
562	0.05038271183
563	0.05028212261
564	0.05017777135
565	0.05006729954
566	0.04995684563
567	0.04985995406
568	0.04973829162
569	0.04962600422
570	0.04951719548
571	0.04939331287
572	0.0492858497
573	0.04918361212
574	0.04908072299
575	0.04897357452
576	0.04886673398
577	0.04875725938
578	0.04866512008
579	0.04854958459
580	0.04843975427
581	0.04831960247
582	0.04821408627
583	0.0481073178
584	0.0480000919
585	0.0478978171
586	0.04780523804
587	0.04769902044
588	0.04758914343
589	0.04748885227
590	0.04739514021
591	0.04730721222
592	0.04722239671
593	0.04712789423
594	0.04701865962
595	0.04690735992
596	0.04680475311
597	0.04668987951
598	0.04658528612
599	0.04649544744
600	0.0464130702
601	0.04630737279
602	0.0462110651
603	0.04611497316
604	0.04601560797
605	0.04592399441
606	0.04583538131
607	0.04574406259
608	0.0456541957
609	0.04556755133
610	0.04547677619
611	0.04537741856
612	0.04528300041
613	0.0451846132
614	0.04509251603
615	0.0449956851
616	0.0448990934
617	0.04480787758
618	0.04471360756
619	0.04462674756
620	0.04455371755
621	0.04446568712
622	0.04438120474
623	0.04427941451
624	0.04419389658
625	0.04410919119
626	0.04403513692
627	0.04394834716
628	0.04385283302
629	0.04377353491
630	0.04369379737
631	0.04360472104
632	0.04351927635
633	0.04343538539
634	0.04334383563
635	0.04326650194
636	0.04317821916
637	0.04309537411
638	0.04301781666
639	0.0429394196
640	0.04286055427
641	0.04278622552
642	0.04268245065
643	0.04260509319
644	0.04253231563
645	0.0424520845
646	0.04237202053
647	0.04229306212
648	0.04222543049
649	0.04214881299
650	0.04206122402
651	0.04198838297
652	0.0419102299
653	0.04182114258
654	0.04174502944
655	0.04167055107
656	0.0415931596
657	0.04152459822
658	0.04144732956
659	0.04136649989
660	0.04130138068
661	0.04122414405
662	0.04115010032
663	0.04107855101
664	0.04100144574
665	0.04092104348
666	0.04085028714
667	0.04077926282
668	0.04070800834
669	0.04063825704
670	0.0405637383
671	0.04049362905
672	0.04042057522
673	0.04034729409
674	0.04027440855
675	0.04018954169
676	0.0401192663
677	0.04005023106
678	0.03997579588
679	0.03990811895
680	0.03983631973
681	0.03976504111
682	0.03969471922
683	0.0396193904
684	0.03954990013
685	0.03947147244
686	0.03940487224
687	0.03933029514
688	0.03925618959
689	0.03919335733
690	0.03912563141
691	0.03906257795
692	0.03899122472
693	0.03892738059
694	0.03885573987
695	0.03878005406
696	0.0387183971
697	0.03865390452
698	0.03856570736
699	0.03850299132
700	0.03843771639
701	0.03836207074
702	0.03828239066
703	0.03821579418
704	0.03815227527
705	0.03809150951
706	0.03803007168
707	0.0379645746
708	0.03790086419
709	0.03783268188
710	0.03777549506
711	0.03771492961
712	0.03765547834
713	0.03759014419
714	0.03753888823
715	0.03747182724
716	0.03740402911
717	0.03734567603
718	0.0372609458
719	0.03720171335
720	0.03713423594
721	0.03706243442
722	0.03699594824
723	0.03693587138
724	0.03688128376
725	0.03682369499
726	0.03676574722
727	0.03670374917
728	0.03664002461
729	0.03658408568
730	0.0365268173
731	0.03646811396
732	0.03641125697
733	0.03635480053
734	0.03629566518
735	0.03624015341
736	0.03618558678
737	0.03612824365
738	0.03606904624
739	0.03600615497
740	0.03595299514
741	0.03589550735
742	0.03583605998
743	0.03578159706
744	0.03571904396
745	0.03566406353
746	0.03559360179
747	0.03553612781
748	0.03548338408
749	0.03542482528
750	0.03536904706
751	0.03531624414
752	0.03525817634
753	0.03520391169
754	0.03514834357
755	0.03509619315
756	0.03504770301
757	0.03498654004
758	0.03492611457
759	0.0348757495
760	0.03482470317
761	0.0347720684
762	0.03471793872
763	0.03465293756
764	0.03459402813
765	0.03453675372
766	0.03448788984
767	0.03443011415
768	0.03438127378
769	0.03432744284
770	0.03427751021
771	0.03422060545
772	0.03416433342
773	0.03410961341
774	0.0340622316
775	0.03401550917
776	0.03396545423
777	0.03390395336
778	0.03384709336
779	0.03379585294
780	0.03374205964
781	0.03368632156
782	0.0336333176
783	0.03358913389
784	0.03353953946
785	0.03348993119
786	0.03343398046
787	0.03338491493
788	0.03333808553
789	0.03328901951
790	0.03323929953
791	0.03318488859
792	0.03312588878
793	0.03307591925
794	0.0330230891
795	0.03297281649
796	0.03292395445
797	0.03287983528
798	0.03283179045
799	0.03278234497
800	0.03273360163
801	0.03269028609
802	0.03264296723
803	0.03259457988
804	0.0325459197
805	0.03249565621
806	0.03244839967
807	0.03240021394
808	0.03235334866
809	0.03230786952
810	0.03226629757
811	0.03221079996
812	0.03216256023
813	0.03212113526
814	0.03207581503
815	0.03202585447
816	0.03197575233
817	0.03192942986
818	0.03188328887
819	0.03183509642
820	0.03178748227
821	0.03172188919
822	0.03167825555
823	0.03163788662
824	0.03159071099
825	0.03154554659
826	0.03149783372
827	0.03145128821
828	0.03140705408
829	0.03135865605
830	0.03131008928
831	0.03126531085
832	0.03121623536
833	0.03117068784
834	0.0311274632
835	0.03108479034
836	0.03103930374
837	0.03099679839
838	0.03093369932
839	0.03088840807
840	0.03085217634
841	0.03080573196
842	0.03076394374
843	0.03072364351
844	0.03067666973
845	0.03063354994
846	0.03059151377
847	0.03054210375
848	0.0305054312
849	0.03046461525
850	0.03042569848
851	0.0303826087
852	0.03034130724
853	0.03029974029
854	0.03025859327
855	0.03021067042
856	0.0301697047
857	0.03012312793
858	0.03008016946
859	0.0300380724
860	0.02999990173
861	0.02995799269
862	0.02991945524
863	0.02988091597
864	0.02983594908
865	0.02979885767
866	0.02975592673
867	0.02971508979
868	0.02967437428
869	0.02963681683
870	0.0295926041
871	0.02955218573
872	0.02951096677
873	0.02946061182
874	0.02942029955
875	0.0293815483
876	0.02933675676
877	0.02929568848
878	0.02925285902
879	0.02920675466
880	0.02916929465
881	0.02912809811
882	0.02908543312
883	0.02904416846
884	0.02899977956
885	0.02895941861
886	0.02891812595
887	0.02887923515
888	0.02884339919
889	0.02881087071
890	0.02877388065
891	0.02873272076
892	0.02869726884
893	0.02865792589
894	0.02862256286
895	0.02858412282
896	0.02854801718
897	0.02851034195
898	0.02846763977
899	0.02843212869
900	0.02839610856
901	0.02835621373
902	0.02831896266
903	0.02828473937
904	0.02824183823
905	0.02820470038
906	0.02816946453
907	0.02813563009
908	0.02810170363
909	0.02806339582
910	0.02802644068
911	0.02799160011
912	0.02795575274
913	0.02791807963
914	0.02787899111
915	0.02783926813
916	0.02780411238
917	0.0277710586
918	0.02773603813
919	0.02770170838
920	0.0276682313
921	0.02763767843
922	0.02760355706
923	0.0275659783
924	0.02753305966
925	0.02749409888
926	0.02745941101
927	0.02742522191
928	0.02739148853
929	0.02735836084
930	0.02732441425
931	0.02728729306
932	0.02725365477
933	0.02722061422
934	0.0271841936
935	0.0271477599
936	0.02710881841
937	0.02707562708
938	0.02703872258
939	0.02700625327
940	0.02697294717
941	0.02693959396
942	0.02690373279
943	0.0268682692
944	0.02683213896
945	0.02679614884
946	0.02676310867
947	0.02673085386
